City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,port alfred,-33.5906,26.891,58.21,75,64,6.31,ZA,1717885950
75,kijang,35.2442,129.2139,65.93,94,100,7.0,KR,1717886080
76,timbuktu,16.7735,-3.0074,99.73,24,64,9.35,ML,1717886129
77,saipan,15.1355,145.701,88.5,66,40,12.66,MP,1717885933
78,puerto ayora,-0.7393,-90.3518,78.76,95,95,7.92,EC,1717885946
79,metlili chaamba,32.2667,3.6333,97.74,12,40,9.22,DZ,1717886132
80,sitka,57.0531,-135.33,58.89,55,100,8.05,US,1717886134
81,fale old settlement,-9.3852,-171.2468,84.0,70,73,6.49,TK,1717885947
82,amahai,-3.3333,128.9167,78.66,88,100,6.85,ID,1717886136
83,ancud,-41.8697,-73.8203,54.45,84,100,20.29,CL,1717885900
84,tazovsky,67.4667,78.7,39.43,78,93,6.11,RU,1717885931
85,guerrero negro,27.9769,-114.0611,69.4,62,22,16.8,MX,1717886140
86,sona,45.4388,10.8255,72.95,85,20,2.3,IT,1717886141
87,port elizabeth,-33.918,25.5701,46.69,100,0,4.61,ZA,1717885945
88,laredo,27.5064,-99.5075,100.69,34,0,12.66,US,1717885822
89,kochenevo,55.0218,82.202,58.39,96,74,7.85,RU,1717885931
90,box elder,41.5005,-112.8764,71.85,52,0,4.43,US,1717886146
91,alofi,-19.0595,-169.9187,76.89,57,75,18.41,NU,1717886147
92,rincon,32.296,-81.2354,87.76,58,75,10.36,US,1717886148
93,callao,-12.0667,-77.15,72.72,77,75,11.5,PE,1717885949
94,weno,7.4515,151.8468,82.35,89,100,6.91,FM,1717885955
95,harper,4.375,-7.7169,78.69,83,81,7.29,LR,1717885942
96,hasaki,35.7333,140.8333,72.28,72,61,8.01,JP,1717886153
97,olinda,-8.0089,-34.8553,80.33,89,40,14.97,BR,1717885944
98,mazatlan,23.2167,-106.4167,85.96,71,40,9.22,MX,1717886156
99,hobyo,5.3505,48.5268,79.9,77,74,23.58,SO,1717886158
100,mhamid,29.82,-5.72,82.87,16,100,19.91,MA,1717886159
101,bokoro,12.3807,17.0568,89.83,34,99,8.66,TD,1717886160
102,nemuro,43.3236,145.575,52.99,92,100,15.05,JP,1717885931
103,bikenibeu village,1.3673,173.1241,84.16,77,40,4.61,KI,1717886163
104,qaqortoq,60.7167,-46.0333,39.31,97,100,4.0,GL,1717886164
105,isafjordur,66.0755,-23.124,37.45,85,93,6.82,IS,1717885940
106,blackmans bay,-43.0167,147.3167,46.72,90,48,1.01,AU,1717885928
107,dunedin,-45.8742,170.5036,45.81,95,100,5.01,NZ,1717885874
108,jutai,-5.1833,-68.9,79.95,75,98,2.51,BR,1717886169
109,margaret river,-33.95,115.0667,59.68,72,100,25.21,AU,1717885940
110,kaliua,-5.0606,31.7936,62.76,52,36,5.14,TZ,1717886172
111,poli,-3.3333,36.8,56.44,86,62,2.95,TZ,1717886173
112,cabo san lucas,22.8909,-109.9124,88.9,48,0,8.99,MX,1717885945
113,vorkuta,67.5,64.0,30.11,93,100,1.99,RU,1717885954
114,ashland,40.8167,-82.2665,76.03,67,25,8.59,US,1717886177
115,mili,6.0815,171.735,84.02,77,94,12.55,MH,1717886178
116,vila do maio,15.1333,-23.2167,75.99,84,18,11.9,CV,1717886179
117,avarua,-21.2078,-159.775,75.25,57,40,8.05,CK,1717885931
118,sterling,39.0062,-77.4286,85.59,42,75,6.91,US,1717885794
119,sandnessjoen,66.0217,12.6316,50.52,64,61,12.3,NO,1717886183
120,hadibu,12.65,54.0333,83.34,78,75,16.8,YE,1717886184
121,midvagur,62.0511,-7.1939,47.23,87,75,18.41,FO,1717886185
122,bay harbor,30.1471,-85.6146,90.93,49,0,10.36,US,1717886187
123,longyearbyen,78.2186,15.6401,37.24,81,75,4.61,SJ,1717885934
124,bathsheba,13.2167,-59.5167,84.81,79,40,18.41,BB,1717886190
125,hermanus,-34.4187,19.2345,49.8,80,0,7.16,ZA,1717885940
126,talnakh,69.4865,88.3972,35.2,92,100,9.51,RU,1717885989
127,langarud,37.197,50.1535,77.05,75,98,4.79,IR,1717886194
128,east london,-33.0153,27.9116,57.18,75,24,8.81,ZA,1717885948
129,xining,36.6167,101.7667,51.26,79,85,2.51,CN,1717885963
130,tiksi,71.6872,128.8694,33.13,90,76,7.52,RU,1717885930
131,truth or consequences,33.1284,-107.2528,97.03,11,20,16.11,US,1717886199
132,nova sintra,14.8667,-24.7167,75.42,80,0,17.72,CV,1717886200
133,lazaro cardenas,17.9583,-102.2,84.13,61,17,12.3,MX,1717885967
134,znamenskoye,57.1281,73.8282,46.49,94,4,1.99,RU,1717886202
135,invercargill,-46.4,168.35,47.01,87,100,4.0,NZ,1717886203
136,dudinka,69.4058,86.1778,35.67,97,69,8.99,RU,1717885931
137,yazd,31.8972,54.3675,77.11,10,0,0.0,IR,1717886207
138,jamestown,42.097,-79.2353,69.53,45,0,9.22,US,1717886208
139,panacan,9.2463,118.4082,82.35,81,100,9.26,PH,1717886211
140,paranhos,-23.8928,-55.4311,72.1,47,37,6.76,BR,1717886212
141,kavaratti,10.5669,72.642,80.89,87,100,12.8,IN,1717886213
142,colonia,50.9333,6.95,57.85,75,75,6.91,DE,1717886214
143,plastun,44.7561,136.2939,50.65,99,100,3.38,RU,1717886216
144,port lincoln,-34.7333,135.8667,55.02,66,54,6.38,AU,1717886217
145,ndele,8.4109,20.6473,73.17,81,100,6.08,CF,1717886218
146,calamar,10.2511,-74.9146,83.14,81,83,7.78,CO,1717886221
